Date,Open,High,Low,Close,Volume
2/20/2013,65.3843,65.3843,64.1143,64.1214,119075600
2/19/2013,65.8714,66.1043,64.8357,65.7129,108945900
2/15/2013,66.9786,67.1657,65.7029,65.7371,97936300
2/14/2013,66.36,67.3771,66.2886,66.6557,88818800
2/13/2013,66.7443,67.6629,66.1743,66.7157,118801900
2/12/2013,68.5014,68.9114,66.8206,66.8429,152263300
2/11/2013,68.0714,69.2771,67.6071,68.5614,129372600
2/8/2013,67.7143,68.4014,66.8929,67.8543,158289600
2/7/2013,66.1786,67.1429,64.8743,66.8886,176145200
2/6/2013,65.21,66.6429,64.6543,65.3357,148426600
2/5/2013,63.4357,65.6771,63.1743,65.4063,143336900
2/4/2013,64.8443,65.1343,63.1429,63.188,119279300
2/1/2013,65.5871,65.64,64.05,64.8029,134871100
1/31/2013,65.2829,65.6114,64.9971,65.07,79833600
1/30/2013,65.2857,66.0857,64.9286,65.2614,104288800
1/29/2013,65.5,65.7429,64.5886,65.4671,142789500
1/28/2013,62.5464,64.7443,62.2657,64.2614,196379400
1/25/2013,64.5271,65.1757,62.1429,62.84,302006600
1/24/2013,65.7143,66.5329,64.3214,64.3571,365213100
1/23/2013,72.6871,73.57,72.11,73.4293,215377400
1/22/2013,72.08,72.5543,70.9471,72.11,115386600
1/18/2013,71.2166,71.7457,70.9143,71.4286,118230700
1/17/2013,72.9014,72.9643,71.7186,71.8114,113419600
1/16/2013,70.6629,72.7771,70.3571,72.2986,172701200
1/15/2013,71.1857,71.2843,69.0543,69.4171,219193100
1/14/2013,71.8114,72.5,71.2157,71.6786,183551900
1/11/2013,74.4286,75.0457,74.1457,74.3286,87626700
1/10/2013,75.5071,75.5314,73.6457,74.7871,150286500
1/9/2013,74.6429,75.0008,73.7129,73.8714,101901100
1/8/2013,75.6014,75.9843,74.4643,75.0443,114676800
1/7/2013,74.5714,75.6143,73.6,74.8429,121039100
1/4/2013,76.7093,76.9471,75.1184,75.2857,148583400
1/3/2013,78.2686,78.5243,77.2857,77.4423,88241300
1/2/2013,79.1171,79.2857,77.3757,78.4329,140129500
12/31/2012,72.9329,76.4857,72.7143,76.0247,164873100
12/28/2012,72.8986,73.4971,72.5886,72.7985,88569600
12/27/2012,73.3629,73.75,72.0943,73.58,113780100
12/26/2012,74.1429,74.2086,73.0171,73.2856,75609100
12/24/2012,74.3357,74.8929,74.1014,74.3097,43938300
12/21/2012,73.21,74.2386,72.8914,74.19,149067100
12/20/2012,75.7143,75.7429,74.1257,74.5329,120422400
12/19/2012,75.9243,76.2429,75.0714,75.1871,112342300
12/18/2012,75,76.4143,74.3214,76.2714,156421300
12/17/2012,72.7043,74.2857,71.6043,74.1186,189401800
12/14/2012,73.5357,74.0189,72.2257,72.8277,252394800
12/13/2012,75.8786,76.8057,75.1143,75.67,156314900
12/12/2012,78.2529,78.2857,76.61,77,121786000
12/11/2012,77.11,78.5086,76.7671,77.3411,148086400
12/10/2012,75,76.93,74.5114,75.6887,157621100
12/7/2012,79.0571,79.3143,75.7143,76.1786,196760200
12/6/2012,75.5629,79.0443,74.09,78.1778,294303100
12/5/2012,81.2729,81.3214,76.9671,76.9703,261159500
12/4/2012,83.1143,83.1143,81.7329,82.2636,139267100
12/3/2012,84.8071,84.9414,83.6429,83.7414,91070000
11/30/2012,83.8271,84.0571,83.24,83.6114,97829900
11/29/2012,84.3164,84.8929,83.6071,84.1943,128674700
11/28/2012,82.4671,83.6857,81.7514,83.2771,130216100
11/27/2012,84.2214,84.3457,82.8714,83.54,133332500
11/26/2012,82.2714,84.2857,81.9586,84.2186,157644900
11/23/2012,81.0243,81.7143,80.3714,81.6429,68206600
11/21/2012,80.6071,81.0529,79.5143,80.2429,93250500
11/20/2012,81.7014,81.7071,79.2257,80.1305,160688500
11/19/2012,77.2442,81.0714,77.1257,80.8186,205829400
11/16/2012,75.0286,75.7143,72.25,75.3826,316723400
11/15/2012,76.79,77.0714,74.66,75.0886,197477700
11/14/2012,77.9286,78.2071,76.5971,76.6971,119292600
11/13/2012,76.9871,78.64,76.6229,77.5569,133237300
11/12/2012,79.1643,79.2143,76.95,77.5471,128950500
11/9/2012,77.2029,79.2686,76.2457,78.1514,232478400
11/8/2012,80.09,80.3186,76.47,76.8214,264036500
11/7/2012,81.9764,82.0771,79.3929,79.7146,198412200
11/6/2012,84.3186,84.3914,82.87,83.2642,93729300
11/5/2012,83.3593,83.9671,82.5143,83.5173,132283900
11/2/2012,85.1271,85.2786,82.1071,82.4,149843400
11/1/2012,85.46,86.1429,84.8814,85.22,90324500
10/31/2012,84.9829,85.9943,83.9571,85.0457,127500800
10/26/2012,87.0614,87.7143,84.4286,86.2857,254608200
10/25/2012,88.5714,88.8571,86.5071,87.0769,164081400
10/24/2012,88.7771,89.5071,87.2343,88.1186,139631800
10/23/2012,90.1429,90.5571,87.3857,87.6222,176786400
10/22/2012,87.4886,90.7686,87.2514,90.5757,136682700
10/19/2012,90.15,90.2529,87.0886,87.12,186021500
10/18/2012,91.37,91.7229,90,90.3771,119156100
10/17/2012,92.6957,93.2557,92,92.0877,97259400
10/16/2012,90.7629,92.9,90.1429,92.8275,137442900
10/15/2012,90.3357,90.7329,89.1214,90.68,108125500
10/12/2012,89.9371,90.7686,89.3286,89.9591,115003700
10/11/2012,92.3571,92.4571,89.7286,89.7286,136520300
10/10/2012,91.3914,92.14,91,91.5586,127589000
10/9/2012,91.2357,91.4986,89.0786,90.8357,209649300
10/8/2012,92.4114,92.5086,90.8729,91.1671,159498500
10/5/2012,95.0286,95.1429,93.04,93.2271,148501500
10/4/2012,95.8929,96.3214,95.0786,95.2571,92681400
10/3/2012,94.98,95.98,94.6614,95.9214,106070300
10/2/2012,94.5443,95.1929,92.95,94.4729,156998100
10/1/2012,95.9286,96.6786,93.7857,94.1986,135898700
9/28/2012,96.9643,97.3014,95.25,95.3007,133777700
9/27/2012,94.8986,97.4529,94.3357,97.3314,148522500
9/26/2012,95.5343,96.0986,94.4571,95.0257,144125800
9/25/2012,98.3229,98.9686,96.1429,96.22,129697400
9/24/2012,98.1229,99.3029,97.5714,98.6843,159941600
9/21/2012,100.3443,100.7243,99.9088,100.0136,142897300
9/20/2012,99.88,100.0086,99.0886,99.8143,84142100
9/19/2012,100.0371,100.57,99.9386,100.3,81718700
9/18/2012,99.9829,100.3329,99.4886,100.2729,93375800
9/17/2012,99.9071,99.9714,99.23,99.9687,99507800
9/14/2012,98.565,99.5686,98.27,98.7543,150118500
9/13/2012,96.7671,97.9286,96.3957,97.5686,149590000
9/12/2012,95.2643,95.7,93.7143,95.6843,178058300
9/11/2012,95.0157,95.7286,93.7857,94.37,125995800
9/10/2012,97.2071,97.6129,94.5857,94.6771,121999500
9/7/2012,96.8643,97.4971,96.5386,97.2057,82416600
9/6/2012,96.1671,96.8986,95.8286,96.61,97799100
9/5/2012,96.51,96.6214,95.6571,95.7471,84093800
9/4/2012,95.1086,96.4486,94.9286,96.4243,91973000
8/31/2012,95.3214,95.5143,93.8929,95.0343,84580300
8/30/2012,95.8057,95.9363,94.6933,94.8383,75674900
8/29/2012,96.4643,96.81,96.0857,96.2094,50701700
8/28/2012,96.4253,96.5857,95.8104,96.4,66854200
8/27/2012,97.1414,97.2671,96.22,96.5257,106752100
8/24/2012,94.2157,95.64,93.65,94.746,109335100
8/23/2012,95.1586,95.7,94.45,94.6614,105032200
8/22/2012,93.4886,95.5714,92.5871,95.5529,141330700
8/21/2012,95.8314,96.4114,92.9043,93.7231,203179900
8/20/2012,92.8586,95.0214,92.8429,95.0214,153346200
8/17/2012,91.4286,92.5986,91.2586,92.5871,110690300
