,Open,High,Close
698,140.72,141.02,140.69
699,139.41,140.7501,140.46
700,139.3,139.65,138.99
701,138.85,139.43,139.2
702,139.25,139.3571,139.14
703,138.74,138.79,138.68
704,138.95,139.8,139.0
705,139.06,139.98,139.52
706,139.365,139.77,139.34
707,138.78,139.83,139.78
708,140.0,140.2786,138.96
709,137.89,140.15,139.79
710,137.08,137.435,136.99
711,137.14,137.435,136.93
712,135.91,136.66,136.66
713,137.38,137.48,136.53
714,136.43,137.12,137.11
715,136.23,136.75,136.7
716,135.1,135.83,135.72
717,135.67,135.9,135.345
718,135.52,136.27,135.51
719,133.47,135.09,135.02
720,133.08,133.82,133.29
721,132.46,132.94,132.12
722,131.65,132.445,132.42
723,131.35,132.22,132.04
724,130.54,132.09,131.53
725,129.13,130.5,130.29
726,128.31,129.19,129.08
727,127.975,129.39,128.53
728,127.03,130.49,128.75
729,121.15,121.39,121.35
730,120.93,121.63,121.63
731,122.14,122.35,121.95
732,121.67,122.44,121.94
733,120.42,122.1,121.88
734,119.55,120.1,119.97
735,120.0,120.81,120.08
736,120.45,120.45,120.0
737,119.4,120.09,119.78
738,120.0,120.5,119.99
739,118.34,120.24,120.0
740,119.11,119.62,119.04
741,118.895,119.3,119.25
742,118.74,119.93,119.75
743,118.77,119.38,119.11
744,117.95,119.43,118.99
745,116.78,118.16,117.91
746,115.92,116.8642,116.61
747,115.85,116.51,116.02
748,115.8,116.33,116.15
749,116.65,117.2,115.82
750,116.45,117.1095,116.73
751,117.52,118.0166,116.76
752,116.52,117.8,117.26
753,115.59,116.52,116.52
754,116.35,116.51,116.29
755,116.8,117.4,117.06
756,116.74,117.5,116.95
757,115.8,117.38,116.64
758,116.47,116.5,115.97
759,115.38,116.73,115.82
760,115.04,116.2,115.19
761,113.84,115.92,115.19
762,113.29,115.0,113.3
763,112.31,114.7,113.95
764,110.86,112.43,112.12
765,109.26,111.19,111.03
766,109.5,110.36,109.95
767,110.0,110.03,109.11
768,109.17,110.09,109.9
769,110.365,110.94,109.49
770,111.56,112.2,110.52
771,110.78,112.03,111.46
772,111.43,112.465,111.57
773,111.13,111.87,111.79
774,111.36,111.51,111.23
775,111.95,112.42,111.8
776,110.12,111.99,111.73
777,109.72,110.54,110.06
778,109.81,110.35,109.95
779,106.7,110.23,109.99
780,106.57,107.68,107.11
781,107.32,107.809,105.71
782,106.92,108.87,108.43
783,111.09,111.09,107.79
